grp_categories,business_id,grp_cat_counts,grp_cat_avg_stars
-Mexican-Restaurants,gA5CuBxF-0CnOpGnryWJdQ,426,3.561032864
-Mexican-Restaurants,sygb2W4NRadVXiWhW8bnFQ,426,3.561032864
-Mexican-Restaurants,eK6KGMKqU_4nB9RdayZD7Q,426,3.561032864
-Mexican-Restaurants,-sC66z4SO3tR7nFCjfQwuQ,426,3.561032864
-Mexican-Restaurants,qBc36uFI7orWS8NpYZCv_w,426,3.561032864
-Mexican-Restaurants,Fb_mZcgCgvK60E3hymcpyw,426,3.561032864
-Mexican-Restaurants,qdA4qiSXjaiuqO4SueH9VA,426,3.561032864
-Mexican-Restaurants,3VTBObOAUyDQfpsndTz_pg,426,3.561032864
-Mexican-Restaurants,In93N5Jqu85xAh0qQ2jb1w,426,3.561032864
-Mexican-Restaurants,7vz3HGtHzvz1JjiphH9uOQ,426,3.561032864
-Mexican-Restaurants,FG_GRMLSj68ximzfrr9eWw,426,3.561032864
-Mexican-Restaurants,1PM40DbmTVCNgENzZfs1kg,426,3.561032864
-Mexican-Restaurants,he_b4txorHTrKjH5DnnmdQ,426,3.561032864
-Mexican-Restaurants,PONDGYxI1dswoYjrzeljbA,426,3.561032864
-Mexican-Restaurants,tIuw93p4MEsL2iFv7-0WDg,426,3.561032864
-Mexican-Restaurants,iDYzGVIF1TDWdjHNgNjCVw,426,3.561032864
-Mexican-Restaurants,yaKR6C1ER0ox79j8r5ZaOQ,426,3.561032864
-Mexican-Restaurants,O4GznwWobGqx01DUlijgZA,426,3.561032864
-Mexican-Restaurants,E6HzAdx2vyZVyuNoa4-Xaw,426,3.561032864
-Mexican-Restaurants,tiWLO7EGmOGO7XIE_lESiA,426,3.561032864
-Mexican-Restaurants,ZXlO9S1MG2I-L5uLSF-nPA,426,3.561032864
-Mexican-Restaurants,kuQhOoT4viBi1hzyXQ10CA,426,3.561032864
-Mexican-Restaurants,Vak7jP7fu6LUxQDZmSZE3g,426,3.561032864
-Mexican-Restaurants,rMsTpVM2bJIoghACAtn_uA,426,3.561032864
-Mexican-Restaurants,WxpCYziMlEy8mrEa_VcB1w,426,3.561032864
-Mexican-Restaurants,glalhJa7wFWPIoJLBvKGfQ,426,3.561032864
-Mexican-Restaurants,T_Kcz_bkhE9T6YejqFqPxQ,426,3.561032864
-Mexican-Restaurants,3GpihkrWZOmu1a5k1EfA6g,426,3.561032864
-Mexican-Restaurants,gc5gNHC8VJQ8px7bJJRiQA,426,3.561032864
-Mexican-Restaurants,BBt7Mx9CbhTxJo88QGuErw,426,3.561032864
-Mexican-Restaurants,1NZLxU5WvB5roPFzneAlLw,426,3.561032864
-Mexican-Restaurants,cne0A4qlWtahuzUSdzdalQ,426,3.561032864
-Mexican-Restaurants,dD2xiLM1_5Vg0pMvMIPZww,426,3.561032864
-Mexican-Restaurants,CmNCRMpiJVtaqYfd9X1INg,426,3.561032864
-Mexican-Restaurants,A6OstDz-flrI84-EW8aILg,426,3.561032864
-Mexican-Restaurants,57gnA8qjuFDtUvKMLmtR8A,426,3.561032864
-Mexican-Restaurants,ObYf1kZVWfL8NocxUwGJKg,426,3.561032864
-Mexican-Restaurants,FyyNwrfVbCG3BsYEM5csQA,426,3.561032864
-Mexican-Restaurants,P5YZ1_5L6NGBdDrQFFPVpg,426,3.561032864
-Mexican-Restaurants,flMu0Tz5RsaMzr6K8kg1EA,426,3.561032864
-Mexican-Restaurants,TAlmdEr0RNWZh9IiUS_BLA,426,3.561032864
-Mexican-Restaurants,J3VvIU1ZDqg9a9e7zK-QSQ,426,3.561032864
-Mexican-Restaurants,S-QjTijhGYvEKvDznUTqeg,426,3.561032864
-Mexican-Restaurants,7Zo1DzdwZlGMxPu1AFMSsw,426,3.561032864
-Mexican-Restaurants,Xo9Im4LmIhQrzJcO4R3ZbA,426,3.561032864
-Mexican-Restaurants,4J-zAaVif1-R-xCJ-2N7Aw,426,3.561032864
-Mexican-Restaurants,tigIXsvKMb4xCiZP56oSPQ,426,3.561032864
-Mexican-Restaurants,JdF1nBsMx6p0WwKXIJlfxA,426,3.561032864
-Mexican-Restaurants,X0BsBdPGAyo9gLPIRJ9PFw,426,3.561032864
-Mexican-Restaurants,0l9e2aBYZfogiSUyxJEL3Q,426,3.561032864
-Mexican-Restaurants,DlLduXXSwjkm7OL4Z1iH1A,426,3.561032864
