business_id,grp_categories,grp_cat_avg_stars,grp_cat_counts
-sC66z4SO3tR7nFCjfQwuQ,-Mexican-Restaurants,3.561032864,426
SZ9JuY-zD0SIrBS1b9Isyg,-Mexican-Restaurants,3.561032864,426
jCOTob1avPH52RNuniylkg,-Mexican-Restaurants,3.561032864,426
m-3kIelwdkCO1F5G6vnENg,-Mexican-Restaurants,3.561032864,426
ObYf1kZVWfL8NocxUwGJKg,-Mexican-Restaurants,3.561032864,426
MmafQlWPPu0qbA7_1ayHNg,-Mexican-Restaurants,3.561032864,426
rO3saNBRU2Pg16RyfEP6-g,-Mexican-Restaurants,3.561032864,426
jnzROxEjNkgeo5Ju3F8qzQ,-Mexican-Restaurants,3.561032864,426
1NZLxU5WvB5roPFzneAlLw,-Mexican-Restaurants,3.561032864,426
wN_wAXWg8W94v04eqijy6g,-Mexican-Restaurants,3.561032864,426
qA6oEp9yIv7lodKe68VoZw,-Mexican-Restaurants,3.561032864,426
Dka36Pw7ibbHV6xIimQAOg,-Mexican-Restaurants,3.561032864,426
rDvz5jX65gpfONFu7er9Tw,-Mexican-Restaurants,3.561032864,426
soiGohHtWOltGeomkSxzEw,-Mexican-Restaurants,3.561032864,426
zp713qNhx8d9KCJJnrw1xA,-Mexican-Restaurants,3.561032864,426
wUrTYqp9fHLJ8AR4lMxHGQ,-Mexican-Restaurants,3.561032864,426
jfiWnT1G0Pzq1PtavVjZaQ,-Mexican-Restaurants,3.561032864,426
5kRug3bEienrpovtPRVVwg,-Mexican-Restaurants,3.561032864,426
581qSMwGGgdVSdiBTsrPyQ,-Mexican-Restaurants,3.561032864,426
nPVVaj8T9iI1NrHZZFsqvA,-Mexican-Restaurants,3.561032864,426
flUKBy7WHqYdfOrwU1A2SA,-Mexican-Restaurants,3.561032864,426
lDaRjBglhfWCRMMYbXDMNg,-Mexican-Restaurants,3.561032864,426
Exx5ffvnmk4MrTyCkPRuug,-Mexican-Restaurants,3.561032864,426
nFo_63pTr-4ZhakuaRFOCA,-Mexican-Restaurants,3.561032864,426
MAFjNfDWJRgWCw8IOC7mew,-Mexican-Restaurants,3.561032864,426
EreqxAEKm62XtDMRYXglDw,-Mexican-Restaurants,3.561032864,426
KPUx1NfJTEjWuAVPCsjlYg,-Mexican-Restaurants,3.561032864,426
m_rEr3Vg1-f9Dg-Nag4FWg,-Mexican-Restaurants,3.561032864,426
jVgtPnzXvZQOCCIUPEBktA,-Mexican-Restaurants,3.561032864,426
bOB11LVavtN9PWTNwR52Tw,-Mexican-Restaurants,3.561032864,426
oyzxIqrtzu-8sWlPhJVsLw,-Mexican-Restaurants,3.561032864,426
-lOSaCuBRAvX5JBifx-EMw,-Mexican-Restaurants,3.561032864,426
LdI-fcJDXGE7ns_jwWY2ow,-Mexican-Restaurants,3.561032864,426
aXRtJioBYidoHdS2GTTKhA,-Mexican-Restaurants,3.561032864,426
7LbqRnM6DPbLuBV4DGi5iA,-Mexican-Restaurants,3.561032864,426
KoIRdcIfh3XWxiCeV1BDmA,-Mexican-Restaurants,3.561032864,426
xBCfrESSbroTjhVcRfG4NA,-Mexican-Restaurants,3.561032864,426
I7IfnWW1nXljC4ZGqwPe-w,-Mexican-Restaurants,3.561032864,426
OllL0G9Kh_k1lx-2vrFDXQ,-Mexican-Restaurants,3.561032864,426
oWb5JjxoPaFSmpGwJ3-Ntg,-Mexican-Restaurants,3.561032864,426
lk-6NXfpSgvNw7zm0xtUVw,-Mexican-Restaurants,3.561032864,426
gA5CuBxF-0CnOpGnryWJdQ,-Mexican-Restaurants,3.561032864,426
wdEnI9WTLHiqSCH1RdJ40w,-Mexican-Restaurants,3.561032864,426
PSIoHJpLPnkoH78iYRk6vQ,-Mexican-Restaurants,3.561032864,426
notMxQXE3BaBAgiD-o1jgg,-Mexican-Restaurants,3.561032864,426
3uKAHQr19vFUfBJuXdmhEA,-Mexican-Restaurants,3.561032864,426
g1BQtMfpjrQCVGPWogvjow,-Mexican-Restaurants,3.561032864,426
VzmP95EmSQEKABQmH14_ZA,-Mexican-Restaurants,3.561032864,426
grk9RANQRR-IZouPFP3kgA,-Mexican-Restaurants,3.561032864,426
BESmH-lmMm34_EefL8X9fQ,-Mexican-Restaurants,3.561032864,426
FG_GRMLSj68ximzfrr9eWw,-Mexican-Restaurants,3.561032864,426
250I2C80JTgVwE23IPylHQ,-Mexican-Restaurants,3.561032864,426
kLCmhtUSGMtFnV5GtS929w,-Mexican-Restaurants,3.561032864,426
bzDs0u8I-z231QVdIQWkrA,-Mexican-Restaurants,3.561032864,426
