,cat_counts,cat_avg_stars
-Mexican-Restaurants,362,3.5607734806629834
-Pizza-Restaurants,155,3.5193548387096776
-Chinese-Restaurants,138,3.61231884057971
-Food-Coffee & Tea,131,3.8473282442748094
-American (Traditional)-Restaurants,122,3.3237704918032787
-Hotels & Travel-Event Planning & Services-Hotels,122,3.4959016393442623
-American (New)-Restaurants,95,3.7157894736842105
-Sandwiches-Restaurants,90,3.7666666666666666
-Food-Ice Cream & Frozen Yogurt,88,3.8011363636363638
-Restaurants-Italian,86,3.622093023255814
-Burgers-Restaurants,71,3.4295774647887325
-Food-Grocery,69,3.601449275362319
-Beauty & Spas-Nail Salons,64,3.671875
-Thai-Restaurants,57,3.789473684210526
-Breakfast & Brunch-Restaurants,53,3.4716981132075473
-Italian-Pizza-Restaurants,47,3.8297872340425534
-Arts & Entertainment-Cinema,37,3.6216216216216215
-Barbeque-Restaurants,36,3.6666666666666665
-Auto Repair-Automotive,34,4.176470588235294
-Vietnamese-Restaurants,33,3.590909090909091
-Department Stores-Fashion-Shopping,33,3.712121212121212
-Steakhouses-Restaurants,33,3.696969696969697
-Japanese-Restaurants,32,3.46875
-Fast Food-Restaurants,32,3.328125
-Food-Donuts,31,3.4516129032258065
-Bakeries-Food,31,3.838709677419355
-Greek-Mediterranean-Restaurants,31,3.7580645161290325
-Restaurants,31,3.193548387096774
-Sushi Bars-Japanese-Restaurants,29,3.6551724137931036
-Tex-Mex-Restaurants,28,3.7142857142857144
-Active Life-Gyms-Trainers-Fitness & Instruction,26,3.25
-Active Life-Parks,25,4.24
-Burgers-Fast Food-Restaurants,25,3.24
-Sushi Bars-Restaurants,24,3.6458333333333335
-Buffets-Restaurants,24,3.2708333333333335
-Delis-Sandwiches-Restaurants,23,3.652173913043478
MISSING,23,3.5434782608695654
-Food-Bagels-Delis-Restaurants,23,3.347826086956522
-Car Wash-Automotive,23,3.108695652173913
-Veterinarians-Pets,22,4.363636363636363
-Buffets-Chinese-Restaurants,22,3.090909090909091
-Breakfast & Brunch-American (Traditional)-Restaurants,21,3.5476190476190474
"-Food-Beer, Wine & Spirits",21,4.238095238095238
-Bars-Nightlife-Lounges,21,3.4523809523809526
-Diners-Restaurants,20,3.2
-Asian Fusion-Restaurants,20,3.55
-Restaurants-Pizza-Italian,19,3.710526315789474
-Bars-Restaurants-American (Traditional)-Sports Bars-Nightlife,18,3.138888888888889
-Seafood-Restaurants,18,3.1666666666666665
-Local Flavor,18,4.138888888888889
-Food-Health Markets-Grocery-Specialty Food,18,4.027777777777778
